map,used_time,last_time,last_num,isNow,isNext
3,24,0,0,1,0
1,1,0,0,0,1
4,38,3,1,1,0
4,4,0,0,0,0
1,29,8,1,0,0
2,3,13,2,0,0
1,16,16,3,0,0
3,12,27,4,0,0
1,20,32,5,0,1
1,30,37,6,1,1
3,1,0,0,1,0
1,29,0,0,0,0
4,30,4,1,0,0
3,36,8,2,0,0
1,10,17,3,0,0
3,48,20,4,0,0
3,34,23,5,0,0
4,17,29,6,0,0
1,8,34,7,0,0
3,70,39,8,0,1
2,40,42,9,1,0
3,15,0,0,0,0
1,35,2,1,0,0
3,60,5,2,0,0
1,46,8,3,0,1
1,5,25,4,1,0
4,50,0,0,0,0
3,44,3,1,0,0
1,1,4,2,0,1
3,6,7,3,1,0
3,90,0,0,0,0
1,1,4,1,0,0
3,49,10,2,0,1
1,39,16,3,1,0
2,28,0,0,0,0
2,2,3,1,0,0
2,21,6,2,0,0
2,4,9,3,0,0
2,13,11,4,0,1
4,1,0,5,1,0
2,6,3,0,0,0
3,31,8,1,0,0
4,48,12,2,0,0
2,13,21,3,0,0
1,21,23,4,0,0
1,14,26,5,0,0
2,21,30,6,0,0
1,6,33,7,0,0
1,47,36,8,0,0
2,1,40,9,0,0
4,0,43,10,0,0
1,47,46,11,0,0
1,8,53,12,0,1
1,2,56,13,1,1
3,19,0,0,1,1
3,24,0,0,1,0
2,3,0,0,0,0
2,43,4,1,0,0
1,8,10,2,0,0
2,1,12,3,0,0
1,26,16,4,0,0
2,30,20,5,0,0
3,1,22,6,0,0
3,38,26,7,0,0
3,4,30,8,0,0
1,16,32,9,0,1
2,31,38,10,1,0
4,33,0,0,0,0
3,18,4,1,0,0
4,41,8,2,0,0
2,27,14,3,0,1
1,32,19,4,1,0
4,65,0,0,0,0
4,3,5,1,0,0
3,2,10,2,0,0
2,45,16,3,0,0
1,11,19,4,0,1
3,50,23,5,1,0
1,5,0,0,0,1
3,25,3,1,1,0
3,25,0,0,0,0
3,49,6,1,0,1
1,0,12,2,1,0
2,9,17,0,0,1
2,41,24,1,1,0
3,27,0,0,0,0
2,5,2,1,0,0
2,28,7,2,0,1
3,14,10,3,1,1
2,15,0,0,1,0
4,32,0,0,0,1
4,21,3,1,1,0
2,21,0,0,0,0
1,37,4,1,0,0
2,47,9,2,0,0
4,8,13,3,0,1
4,32,17,4,1,0
2,28,0,0,0,0
2,15,3,1,0,1
4,27,3,2,1,0
1,42,0,0,0,0
3,22,4,1,0,0
3,28,8,2,0,0
2,47,11,3,0,0
2,20,19,4,0,0
4,1,22,5,0,1
3,14,30,6,1,1
3,76,0,0,1,1
4,26,0,0,1,0
3,95,0,0,0,0
3,25,4,1,0,0
3,66,15,2,0,0
1,53,19,3,0,0
3,52,33,4,0,0
3,21,36,5,0,0
4,24,46,6,0,0
1,76,52,7,0,0
2,1,54,8,0,1
4,38,59,9,1,1
2,46,0,0,1,0
2,35,0,0,0,0
3,1,4,1,0,0
3,30,8,2,0,0
2,36,12,3,0,1
4,7,15,4,1,0
2,66,0,0,0,0
2,46,3,1,0,1
1,27,8,2,1,1
2,68,0,0,1,0
1,27,0,0,0,0
2,1,2,1,0,0
4,21,5,2,0,0
2,55,10,3,0,0
2,5,14,4,0,0
3,49,19,5,0,0
1,45,25,6,0,0
1,40,30,7,0,0
1,55,34,8,0,0
2,22,38,9,0,0
1,1,41,10,0,0
4,60,48,11,0,0
3,18,51,12,0,0
3,21,54,13,0,0
1,37,57,14,0,1
2,8,62,15,1,0
1,5,0,0,0,0
2,6,6,1,0,0
3,18,10,2,0,0
1,18,15,3,0,0
3,26,18,4,0,0
3,30,23,5,0,0
4,41,27,6,0,1
1,16,31,7,1,0
4,45,37,0,0,0
1,28,4,1,0,0
2,35,7,2,0,0
1,32,14,3,0,0
4,4,17,4,0,0
1,18,21,5,0,0
1,11,24,6,0,0
2,10,37,7,0,1
4,19,42,8,1,0
3,5,0,0,0,0
2,27,4,1,0,1
1,35,8,2,1,0
2,8,0,0,0,0
2,3,5,1,0,0
3,4,8,2,0,0
4,32,11,3,0,0
1,1,15,4,0,0
1,20,19,5,0,1
1,22,23,6,1,0
2,1,0,0,0,0
2,8,3,1,0,0
2,17,9,2,0,0
3,1,12,3,0,0
2,20,16,4,0,0
3,37,20,5,0,1
1,48,24,6,1,0
1,61,0,0,0,1
